No.,Komentar,Kelas
1,"sudah beberapa kali pake tapi belum pernah ada keluhan, agak telat dikit masih wajar lah. yg terakhir pelayanannya bagus! padahal saya pake nya , bukan .!",Positif
2,"Entah, banyak yang bilang pelayanan J&T buruk. Tapi untuk saya pribadi, selama ini belum pernah mendapat kendala apapun dari J&T, selalu tepat waktu. Mau dari Bandung, Yogya, Medan, semuanya tepat waktu.",Positif
3,J&T bagus banget.....,Positif
4,Playanan memuaskan mantaaap,Positif
5,J&T OKE,Positif
6,Luar biasa memuaskan  ,Positif
7,Sesuai dengan pelayanannya,Positif
8,Alhamdulillah selama menggunakan jasa J&T baik sbg pengirim maupun penerima selalu dilayani dengan baik.,Positif
9,"J&T TOP DAH! Cepet,dan keadaan barang baik terus^",Positif
10,"J&T KRENNNNNN.,berkat J&T ,Pengiriman HAKIM ZAY SHOP Online berjalan lancaar..Makasi J&T..",Positif
11,Mantep pengiriman jd lebih cepat sehari J&T Reg nyampe.. J&T oke!!,Positif
12,"Hampir setiap pengiriman yang saya lakukan / saya terima sangat cepat, mungkin karena saya menggunakan service  .",Positif
13,"terima kasih J&T MANGGAR SUB AGEN BELITUNG TIMUR. paket saya sudah sampai pagi ini, jasa pelayanan anda sangat baik.",Positif
14,"Sipp lah walaupun alamat saya daerah Gunung tapi tepat waktu, yahudd lah, mkasih J&T ",Positif
15,"J&T mantap,cepat, hehehehe ",Positif
16,J&T pelayanan nya cepat,Positif
17,Agen pengiriman yang baik,Positif
18,"J&T TOP loh,, cepat sampai..",Positif
19,Sudah cinta dg J&T susah berpaling ke lain ny. Bagus sekali,Positif
20,"Terimakasih J&T , Selama saya memakai jasa J&T dari pertama melayani penjualan secara online di toko kami ,selalu tepat waktu !! Dan Pelayanan bagus ! keluhan selalu cepat di tangani . Terimakasih J&T !!",Positif
21,"Akibat salah klik, paketan barangq sempat nyasar sampai bengkulu. Tapi setelah kuhubungii, barang tetap terkirim ke Bondowoso, Jatim dengan selamat. Terima kasih J&T, pelayanannya TOP banget.",Positif
22,Pekerjaan bagus J&T...tepat waktu,Positif
23,TOP-BGT...............,Positif
24,Puass puass puasss puaaaaaasssssssssssssssssss..........,Positif
25,Bagus dan baik pekerjaan,Positif
26,saya suka,Positif
27,"Puji Tuhan selama membeli barang diluar kota,parcel di kirim memakai jasa J&T 100% mulus,tidak ada kendala,terima kasih J&T. J&T super bagus",Positif
28,Overall J&T sangat bagus untuk digunakan seabgai kurir bisnis online. Ane Pake Untuk Belanja Lewat toped bberapa kali - aman sampai ke tangan - tapi kadang terlat juga sih..,Positif
29,"Walau J&T sering gangguan, tapi alhamdulilah barang sampai dengan selamat.. Thanks J&T",Positif
30,Selalu pake J&T.... Karna uda langgna biar ga pake  juga.suka datang hari minggu... Heheheh atau malah pas ketemu di jalan. Tetep cepet dan kondisi barang diterima juga okeh! Thx J&T...,Positif
31,Dikirimi paket dari Makassar ke Padang pakai J&T . Sesuai janji 1 hari sampai. Barang tetap diantar kurir walaupun dihari lebaran. Tingkatan,Positif
32,"paketan-paketan saya sampai kerumah, kirain bakalan tidak sampai karena menjelang lebaran ternyata sampai.. Terima kasih J&T",Positif
33,J&T luar biasaaa.. kurir J&T bekerja diterima di alamat tujuan tepat waktu. semangat untuk kurir2 J&T! Kerja keras kalian luar biasa top.,Positif
34,"Paket dikirim tanggal 29 juni, nyampe hari ini tanggal 1 Juli jam 8malem..puas sama kurir J&T nya yang masih nganter jam segitu.. Terima kasih J&T",Positif
35,"bagus kok, semangat J&T",Positif
36,Makasih buat J&T antar barang sangat cepat.,Positif
37,Saya kagum dengan kerja J&T. Sy suka belanja online jadi banyak sekali paket yg dikirim kerumah saya lewat jasa J&T. Semua paket sampai dengan selamat dan tepat waktu.,Positif
38,"Terima Kasih J&T atas Kerja keras nya,,saya selama pke J&T belum pernah dapat kendala sekecil apapun..makasih rekomendasi bgt deh,abaikan saja haters2",Positif
39,"Saya baru dua kali menggunakan J&T , saya akui sampai saat ini layanannya bagus",Positif
40,saya sangat suka dengan Pelayanan J&T yang diberikan kepada pelanggan sehingga Customer merasa Nyaman memakai Jasa Kurir ini,Positif
41,Terimakasih J&T yang selalu ada Buat Saya,Positif
42,Cepat dan expres top,Positif
43,Bagaimanapun saya lebih senang dan akan terus memamkai jasa J&T..dengan pelayanan profesional J&T.. Terima Ksh J&T,Positif
44,Terima kasih buat J&T yang sudah memberi rizki buat keluarga kecil saya,Positif
45,untungnya selama ini belum pernah ada kendala dan lebih cepet sampai ,Positif
46,Alhamdulillah J&T di daerah saya cukup baik dalam melayani konsumen,Positif
47,Terima Kasih J&T. Paketku selalu sampai dengan selamat. Alhamdulillahi Rabbil Alamin.,Positif
48,"Terimakasih atas respon nya,..Barang dr Jakarta ke Lumajang Jawa Timur udh smpe.",Positif
49,bagus ,Positif
50,:V lebih di tingkatkan Pelanggan setia J&T dari sragen (jateng),Positif
51,Kiriman dari pontianak tiba jakarta sehari doang. Terima kasih J&T,Positif
52,Saya mengucapkan terimakasih atas pelayanan J&T Sudah sampai pada tujuannya sekali lg tingkatkan lagi pelayanan yang prima bagi menegement J&T untuk menjadi agen pengiriman yg terpercaya dan profesonal,Positif
53,Sangat bagus pelayanan J&T!!!,Positif
54,Sudah sering menggunakan jasa J&T Alhamdulillah cepat sesuai estimasi.,Positif
55,"Saya sangat puas menggunakan J&T dalam kegiatan onlineshop, karena sangat mudah dan murah, estimasi pengirimannya pun selalu tepat waktu, Terimakasih yang sebesar besarnya yaa untuk J&T.",Positif
56,selama ini pembelian online melalui paket J&T aman-aman saja dan tepat waktu. pelayanan area bantul yogyakarta.,Positif
57,Bagus,Positif
58,J&T emang hebat selalu tepat waktu.....moga sukses,Positif
59,"pengirimannya cepet sampai, padahal ini jalur ke bandung dari jakarta macet total (",Positif
60,Tetap nganter walau libur natal tahun baru.. Terima kasih J&T,Positif
61,"Saya mnjadi pembeli dan penjual online, dan J&T mnjadi salah satu ekspedisi kiriman di OS sy.",Positif
62,Selalu puas ,Positif
63,:-) Kurir nya pun ramah dan sopan.,Positif
64,Maju terus J&T!,Positif
65,Belum pernah ada masalah dengan J&T. Puas sekali teapat waktu dengan J&T,Positif
66,Mantap! Kirim Dari Jakarta ke Jember cepat Sampai~ Lanjutkan !,Positif
67,"selama ini bagus-bagus aja, gak ada kendala cepat sampai.. untuk region pontianak dan jatinangor..",Positif
68,"2,5 tahun berpatner dengan J&T,cepat,tepat,customer selalu puas ",Positif
69,Masih beulm mendapatkan masalah pengiriman dari J&T terbaik pokonya,Positif
70,J&T selalu di hati,Positif
71,Alhamdulillah saya baru menggunakan layanan J&T tapi tidak pernah mengecewakan . Barang selalu sampai dengan aman . Pengiriman juga cepat sesuai estimasi kerja .,Positif
72,pokok nya top deh sekarang 1 hari bisa sampai padahal paket .,Positif
73,semoga sukses wahana,Positif
74,"J&T pelayanannya baik, barang selalu sampai cepat.",Positif
75,Pengiriman yg super cepat dibandingkan kurir lain apalagi daerah jabodetabek serasa REG rasa ,Positif
76,menurut aku pelayanan ny J&T bagus2 aja sesuai estimasi,Positif
77,"Alhamdulillah kurir dan agen J&T ditempat oke"" bgt!!!!....",Positif
78,Barang sll sampai tepat wkt...,Positif
79,Alhamdulillahh paket nyampe sehari pake  kemaren dari jkt ke bekasi alhamdulillah punya ane lancar jaya. Terima kasih J&T.,Positif
80,Untuk J&T tangerang terima kasih atas klaim barang hilang saya. Cepat respon nya sukses selalu untuk J&T,Positif
81,Sya suka sekali mantappp,Positif
82,J&T yang terbaik dalam pelayanannya dari pada yg lain,Positif
83,"Hi....J&T DI RUMAH KU CEPET BGT,Cuma sehari barang sampai tepat waktu",Positif
84,Sangat terpercaya....,Positif
85,Brg ku sampe dlm wkt sehari uda ketrima .terima ksh ya,Positif
86,"Sejauh ini pelayanan memuaskan, kiriman mulai dari yg OKE, Reg dan  selalu sampai tujuan dengan aman dan tepat waktu.",Positif
87,ALHAMDULILLAH selalu PUAS dengan J&T SOLO..,Positif
88,"Demikian review saya dgn J&T. Terutama J&T solo, Mantap!!",Positif
89,Terima Kasih^^,Positif
90,J&T selalu ada di depan,Positif
91,Paling Cocok sama J&T.,Positif
92,"baik Kirim / Antar, tidak ada Masalah.",Positif
93,Terima Kasih J&T atas Jasanya selama ini ,Positif
94,:v,Positif
95,J&T pelayanan ,Positif
96,:) memang yang terbaik,Positif
97,"J&T pelayanannya buruk! Dulu mah langganan skrg udah Males pake J&T, ngirimnya lewat dari estimasi malah sering banget barang ga nyampe. Nlp cutomer service jawabnya ga tau, ga jelas banget J&T. Kasih score 1 karena emang bikin kecewa.",Negatif
98,"Mengecewakan, paket tidak sampai2 kerumah saya lebih dari seminggu, paket saya diantar dari bali dari tanggal 14 januari 2017 yang estimasinya 3-4 hari tapi sampai hari ini juga belum datang paket saya, payah.",Negatif
99,"Dari semarang ke jakarta paket REG 30 ribu, katanya 1-2 hari udah sampe,",Negatif
100,Faktanya udah seminggu barang belom sampe juga... Gak lagi lagi pakai J&T.. Mending pake TIKI atau JnT,Negatif
101,"asli kecewa gw pake J&T pengiriman dr tgl 6 januari smpe sekarang 14 januari ga ada kabar padahal cuma dri jakarta ke banten yang jaraknya cuma 300 km doang tp smpe 8 hari ga nyampe juga, pokoknya gw kapok pake J&T, custumernya susah dihubungi keluhan pun ga di respon.",Negatif
102,Saya sangaat kecewa dengan J&T ini tolong pelayanan ditingkatkan jangan bikin bingung aja barangnya gak nyampek2 gimana cobak,Negatif
103,J&T PAYAH!! katanya hari ini dikirim tau2 ditunda gara2 barang ga kebawa kurir!! dikomplen lewat telpon malah ditutup sm CS nya,Negatif
104,Tidak profesional. Tlng ditindak lanjuti kurir yg tdk mengantar brg sesuai alamat yg tertera. Terutama utk J&T kab.bogor.,Negatif
105,Sungguh sy dibuat kecewa. 5 thn sy menggunakan jasa ini baru kali ini yg menemukan hal yg spt itu. Hal ini sdh menghilangkan rasa kepercayaan sy sbg pelanggan,Negatif
106,"Ga di respon dari tadi,di tlp ga bisa! Buruk pelayanan barang jadi ga sampe.",Negatif
107,"Terima kasih J&T sudah menghilangkan paket saya. Sudah barang hilang, malah dicurigain memalsukan isi dan harga barang sama owner agen tempat saya percayakan menitipkan barang. Duuh sakit hati banget. Hilang uang bisa diganti uang. Tp sakit hati?? Enggak lagi-lagi deh pake jasa anda. Kecewa sangaaat",Negatif
108,"Kurir nya gak jelas , pelayanan nya juga gak jelas kita sering ngirim sampai beribu ribu kali ke J&T tapi customer saya pada protes karna paket nya disuruh ambil ke J&T nya , buat apa ditulis alamat rumah nya , gak jelas J&T",Negatif
109,"Percuma complain tdk ada respon seolqh ga mau tau keluhan customer nya,paket saya hilang oleh pihak J&T dan tdk ada ganti rugi....",Negatif
110,J&T tidak profesional,Negatif
111,"Semakin kesini semakin tidak memuaskan service J&T ,,Kirim Paket  nga pernah sehari sampe jakarta, (surabaya-jakarta)",Negatif
112,Tapi bayar Nya jasa ,Negatif
113,"J&T pelayanannya buruk! Dulu mah langganan skrg udah Males pake J&T, ngirimnya lewat dari estimasi malah sering banget barang ga nyampe. Nlp cutomer service jawabnya ga tau, ga jelas banget J&T. Kasih score 1 karena emang bikin kecewa.",Negatif
114,Service  dari hari JUMAT sampai MINGGU barang TIDAK DATANG!!! Paket KILAT tp service TELAT!!!,Negatif
115,No more ?,Negatif
116,KECEWA SAMA J&T... ,Negatif
117,Kalau J&T mau tetap bertahan dan lebih maju lagi. Perbaiki sektor manajemen kompalin......ini adalah titik terlemah yg J&T punya. Terlalu berbangga diri dengan capaian yg sudah ada,Negatif
118,JELEK BANGET PAYAH !!!,Negatif
119,PELAYANAN GA SESUAI DENGAN KENYATAAN !,Negatif
120,CUSTOMER SERVICE GA GUNA & MERUGIKAN BANYAK PIHAK !!!,Negatif
121,"Playstation 4 saya nomer resi J&T CGK3C10021774916 hilang, tanggung jawabnya mana?",Negatif
122,Dah kapok menggunakan jasa J&T,Negatif
123,Kurang memuaskan dalam pengiriman tidak cepat.,Negatif
124,Pelayanan sangat amat tidak memuaskan. Tidak dapat di percaya.,Negatif
125,Sangat mengecewakan. Sudah 2x kirim paket dengan paket  tp baru sampe 2 hr setelahnya itu juga setelah di komplain. Buat apa nyantumin no telp kalo pas ada keterlambatan atau hal lainny gak ad konfirmasi,Negatif
126,Layanan yang super duper buruknya,Negatif
127,not recommended!!! Saya tunggu besok kalo paket saya masih belum sampai juga. Saya akan laporkan J&T ke badan perlindungan konsumen!!!!!,Negatif
128,Layanan JTR gimana sih? Kaya semaunya nganter barang aja. Udah tau barang penting makanya dikilo banyak2 1minggu gak kelar-kelar. Tau gini pake layanan tetangga,Negatif
129,"kapoook pake J&T dlu saya akui kualitas y bagus tapi akhir2 ini pengiriman nyampe bsa seminguan lebih padahal penting bangettt tuh barang , udah komplein sana sini tetap aja jawaban dalam proses ?",Negatif
130,"bertele tele. Tidak akurat. Paket  ngaret, mau di ambil sendiri g tau barang dimana. Di antar lama di ambil sendiri gak boleh. Pelayanan buruk bgt",Negatif
131,kurirnya gak tau sopan santun!!!!!,Negatif
132,"udah salah, pengiriman telat, suka cari alasan lagi",Negatif
133,bukannya kita yang marah tapi kurirnya yang marahin kita... aneh ini jasa pengiriman,Negatif
134,sangat tidak profesional,Negatif
135,SANGAT2 MENGECEWAKAN!!! BARANG SAYA SAMPE SAAT INI TIDAK ADA PROGRESS.JANGAN SAMPE SAYA NGAMUK2.SAYA HANCURIN KANTOR ANDA KALO SAMPE BARANG SAYA GA SAMPAI!!!!,Negatif
136,"Pelayanan sangat tidak memuaskan! Saya bayar untuk dikirim sampai kerumah, bukan disms untuk mengambil sendiri ke kantor J&T. Kecewa sama pelayanan.",Negatif
137,Parah masa bisa salah kirim,Negatif
138,tidak profesional mending tidak usah buka usaha kargo kalau tidak bisa melayani masyarakat dengan baik,Negatif
139,Mengecewakan J&T... bayar paket express pertama dan terakhir kalinya pake Jasa J&T.. belum lgi responnya yag lamban ketika dkonfirmasi masalah paket yg tdk kunjung sampai,Negatif
140,"Sangat sangat kecewa, dijanjikan 1 hari sampai ternyata ga sampai, pengiriman padahal sudah ditangan kurir tidak sampai KAPOK!! Sudah bayar mahal tp pelayanan tidak sesuai",Negatif
141,Sangaat mengecewakan! harga yg tergolong mahal.. Masa gak nyampek2..,Negatif
142,Pelayanan yang sangat sangat buruk.. Barang yang saya terima rusak dan pecah isi di dalamnya..,Negatif
143,Saya kecewa sama J&T lama knpa jadi kurang bagus yah ini kurirnya nggak bisa baca.,Negatif
144,"J&T sangat mengecewakan,paketan saya yg dijanjikan maksimal trnyata smpe skarang msih blum smpai...",Negatif
145,"Pelayanan buruk, pesananan saya sampe skrg tidak tau dikemanakan sama pihak J&T",Negatif
146,"Servis dan pelayanan yang buruk, customer care nya ngak pernah jawab keluhan..",Negatif
147,"Mohon pelayanannya dibenahi, karena saya sudah beberapa kali menggunakan jasa J&T dengan pelayanan yang sangat buruk.",Negatif
148,Mengecewakan pengiriman barang masih belum sampe,Negatif
149,Sumpah J&T ini SANGAT MENGECEWAKAN. pengiriman barang belum sampai juga.,Negatif
150,J&T selalu banyak alasan...,Negatif
151,Pelayanannya sangat2 buruk,Negatif
152,Mengecewakan paket dari jaksel ke bekasi dah hr ketiga lom nyampe2,Negatif
153,"Parah layanan nya, dari dulu sampe sekarang ga berubah",Negatif
154,Mengecewakan. Pesanan paket  saya pakai alamat kantor tapi sampai sore belum di antar2!!!,Negatif
155,J&T MENGECEWAKAN. kita bayar byr paket smpe kerumah knpa kita disuruh ambil sendiri ke agen !! Top of FormBottom of Form,Negatif
156,Tarif mahal tapi pelayanan mengecewakan.,Negatif
157,"Pegawai nya kebanyakan kurang piknik banyak yg tidur, plin plan, judes sama pelanggan .",Negatif
158,"pelayanan super mengecewakan, tolong dong diperbaiki dan ditingkatkan,,, jangan cuma tarifnya aja yg mahal,,",Negatif
159,"Saya sangat kecewa dengan pelayanan J&T, paket hingga sekarang blm sampai2",Negatif
160,"Sangat jelek. Kualitas tidak di tingkatnya, hanya harga yg ditingkatkan. paket  tp datang seperti pakai REG. SANGAT RUGI.",Negatif
161,J&T parah..!!! Paket belum diterima tapi di status tracking resi sdh dibuat terkirim..,Negatif
162,Cukup sekali ini make J&T!! Pelayanan dan pengiriman nya payah bgt dah,Negatif
163,J&T oh J&T. Kecewa berat dah sama J&T,Negatif
164,Pelayanan buruk,Negatif
165,"Kecewa banget sama pelayanan J&T , masa paket saya dikirim ngga sesuai alamat yg tertera di paket. Untung yg punya rumahnya baik nganterin paketnya sampe ke alamat tujuan , plus si paket disimpen diluar sama kurirnya gara gara di rumah itu ngga ada orang katanya. ,gimana kl paketnya hilang ? Kan jelas jelas ada no hp di paketnya . kenapa kurir seenaknya nyimpen di sembarangan diluar, salah rumah lagi",Negatif
166,SANGAT MENGECEWAKAN,Negatif
167,komplain percuma paket ttp ga nyampe malah jd hilaaaaang!!!!,Negatif
168,"Parah banget komplain ga pernah dijawab, pengiriman tambah lama tambah lambat...",Negatif
169,Jangan pernah pake J&T!!!! Pelayanan sangat buruk!!!! Mending pake TIKI,Negatif
170,J&T yang bener aja barang sampai sekarang belom terima. Layanan BURUK !,Negatif
171,"Berkali-kali ngirim barang dengan J&T, berkali-kali barangnya hilang di tengah jalan. Bilangnya udah sampe, nyatanya belum. Call center susah dihubungi",Negatif
172,"Kecewa berat sama J&T,kmaren sebelum lebaran dapat kiriman paket tapi hancur..",Negatif
173,Sudah waktunya telat sampai 4 hari padahal saya pakai jasa .,Negatif
174,"Bikin jengkel kirim paket pake J&T, sudah satu mingguan paket yg saya kirim masih On Proses wae, !!!!",Negatif
175,"Kecewa sama J&T , saya pengiriman dari tgl 30 juni sampai sekarang tanggal 10 juli tidak sampai padahal 2 hari harusnya sampai , saya sudah datangi kantor cabang , telfon customer service tapi jawaban nya besok dikirim ke rumah , dan sampai sekarang gaada kabar nya",Negatif
176,"Kecewa sekali dengan J&T. Berkat J&T saya tidak jadi berangkat ke australia. Saya kirim paspor dari jember ke jakarta menggunakan paket  karena dijelaskan Yakin Esok Sampai, tapi sudah seminggu belum sampai. Kemarin telfon katanya hari ini akan dikirim, hari ini telfon katanya baru senin akan dikirim. Apa apaan ini, anda sudah merugikan saya. Kalau memang tidak bisa mending jujur saja daripada merugikan oranglain seperti ini.",Negatif
177,"Buruk sekali pengiriman kali ini, cek via my J&T kiriman masih status di semarang tanggal 2 juli, sekarang sudah tanggal 5 juli kiriman belum sampai ke tegal.. padahal kiriman dikirim dari tanggal 29 Juni. TIDAK PROFESIONAL!",Negatif
178,Saya dapat kiriman kue kering dari medan hancur bernatakan sampai toples2nya pecah kue jadi bubuk tepung...ga rekomanded banget J&T padahal sudah ditulis jangan dibanting...kenyataanya tidak sesuai kenyataan...saya kecewa berat dengab J&T,Negatif
179,"J&T paraaahhhh barang nyampek sampai 2 mingguan, ambil barang sendiri gak mau antar.......mana mahal lagi, beeehhhh gak bakalan pkai ni ekspedisi lg",Negatif
180,"Jasa ga profesional, kerjanya lama, barang diperlakukan kasar, costumer service ga ramah.. Harusnya semua org sepakat jangan mau pake J&T biar bangkrut skalian",Negatif
181,J&T dalam perbaikan masa belum baik baik . Saya seller sangat di rugikan jualan di Shopee ID resi tidak bsa di track akibatnya ongkir yg saya taggung gak di bayar oleh Shopee . Sampai kapan nih erornyaaa?? Matiin rezeki orang nih J&T . Gara2 J&T olshop ku harus close order dulu,Negatif
182,Pelayananya Sekarang J&T Buruk Sekali PARAH JADI SAYA KAYA PAKE SERVICE REG SAYA GAK MAU TAU DUIT DI KEMBALIKAN .,Negatif
183,Paketan saya blom smpe,Negatif
184,Kecewa sama J&T...,Negatif
185,Saya Merasa Kecewa banget karena paketan saya sering telat bahkan over waktu. Kalau telat 1 hari sih ngak masalah bahkan ini berhari2 kok.....,Negatif
186,Dan kurir J&T wilayah tuban itu menjengkelkan paketan sering di suruh ambil sendiri di kantor pdhal kantor dan rumah juga ndak terlalu jauh hanya berjarak 4km aja...,Negatif
187,Huft yg profesional dong tingkatkan pelayananya.....,Negatif
188,Nel banget pakek J&T. Dengan gampangnya bilang barang dinyatakan hilang dengan alasan salah rute dan alamat gak jelas. Dikira barang murah apa dengan enteng bilang hilang2. Tlf bilang barang lebih dari 3hri gak datang dinyatakan hilang. Dimintain ganti rugi ruwet banget prosesnya.,Negatif
189,"Jasa terburuk, pelayanan terburuk, kurir tidak bekerja. Semoga cepat tutup dan tidak menggunakan jasa ini lagi amin.",Negatif
190,"Perbaiki lagi layanannya,sangat tidak bisa diandalkan kalau kirim paket penting,jabodetabex saja lama",Negatif
191,PAKETAN SAYA MANAA . BURUK SEKALI PELAYANAN J&T.,Negatif
192,RESI GIMANA CERITANYA BISA TERLEPAS DARI BARANG. DIMANA TANGGUNG JAWAB PERUSAHAAN,Negatif
193,WAJIB DILAPORKAN POLISI BIAR JADI PELAJARAN,Negatif
194,"J&T makin parah pelayanannya resi tidak bisa ditrak di email tidak dibalas, di tlp disuruh tunggu, sudah lah semua toko online saya tidak pake J&T lg sudah beralih ke yang lain",Negatif
195,"Pelayanannya kurang memuaskan, terlalu sering kecewakan pelanggan.., saya merasa terpaksa aja menggunakan jasa J&T krn hanya itu satu2nya yg ada di kota saya.. maklum kota kecil.. saya harap J&T dapat memperbaiki pelayanannya.",Negatif
196,Tidak bertanggung jawab thd paketan yg dikirim klien. Sangat mengecewakan.,Negatif
197,"Banyak ekspedisi pengiriman barang, tapi gak ada yang lebih lelet dari pada J&T ntah cuma daerah aku nya, ntah memang di mana mana,? antar barang ke rumah mesti sore sore banget, isyarat jemput sendiri.",Negatif
198,"datang tidak penah tepat waktu, pelayanan yang sangat buruk, mengecewakan.",Negatif
199,Pelayanan sangat buruk ,Negatif
200,?? bayar aja mesti cepet tapi ga pernah nyampe kerumah.. Pasti disuruh ambil ke gudang.. Buatt apa kita bayar kalo gitu!,Negatif
201,"Setiap tahun sudah pakai layanan J&T, tp tiap tahun jg dikecewakan",Negatif
202,J&T kok lemot kayak keong yah? Padahal ane udah pake yang ... tp udah 4 hari keterangan barang masih di jkt. kecewa gan...,Negatif
203,J&T sekarang telat terus.,Negatif
204,Pelayanan tidak profesional dan sangat tidak memuaskan.,Negatif
205,"Pelayanan Buruk, Rugi saya bayar J&T law kurirnya gak becus ngantarin barang sampai di Rumah.",Negatif
206,"Saya kecewa dengan layanan J&T , saya kirim ke wilayah Sidoarjo , paket blm sampai ke rmh eh tp statusnya delivered , nama penerimanya ada tp di rmh saya nggak ada yg nama tsb , kurirnya sy hub balik telp langsung di off",Negatif
207,Saya tadi baru saja menerima paket saya dan alhasil setelah saya membuka nya hancur parah paket saya,Negatif
208,"kualitas makin memburuk. paket dah nyampe di daerah, tapi 3 hari kemudian baru dianter ke rumah. padahal dulu cuma sehari. apa karna kekurangan kurir ya?",Negatif
209,"Terlalu Lambat,Sudah 3x pakai jasa J&T,tidak pernah mendapatkan pelayanan yang memuaskan.",Negatif
210,"Pelayanan anda untuk kasus barang hilang sangat tidak profesional, komplain jalurnya berbelit belit, mesti sertakan KTP dan semenatara waktu kirim tidak disertakan KTP, dan jika memang mesti menyertakan KTP, Pihak J&T juga secara Hukum mesti menjelaskan kenapa bisa Hilang...",Negatif
211,"Sangat tidak profesional, selalu delay selalu tidak bisa menemukan alamat. LAYANAN PELANGGAN HANYA BERBICARA DAN TIDAK MEMBANTU SAMA SEKALI.",Negatif
212,Pengiriman J&T kurang bagus deh.. kirim brg pake  yg seharusnya 1 hari sampai malah sampai skrg blm sampai2.. cara kerjanya kurang memuaskan..,Negatif
213,Pelayananya gk memuaskan udh pk  tp smpe skrg brg blm nyampe pdhl kirimnya dr hari senin..,Negatif
214,Tidak ada tangung jawab ny J&T ini . .saya sudah sering kali kesel . Setiap kali pesan makanan lwt online. Saya selalu bayar ongkir yg  . Tpi sllu di antr lambat kadang makanan sampai sudah basi. Mana tangung jwb kalian sebagai J&T ini.,Negatif
215,"J&T sangat buruk....tidak ada tanggung jawab nya...Pengiriman sering salah ketik alamat,",Negatif
216,Pelayanan nya buruk sekali,Negatif
217,Sekarang kecewa sama J&T paket saya belom sampai-sampai,Negatif
218,Kali ini saya kecewa sama J&T dengan kurir ny gak bertanggungjawab masa paket saya ditemukan dipinggir jalan. payah,Negatif
219,J&T ini perusahaan besar tapi pekerjaanya lelet!!!,Negatif
220,J&T SANGAT SANGAT MENGECEWAKAN.lambat.,Negatif
221,J&T Mahal.. lambat pula... mana disuruh jemput di kantornya,Negatif
222,"Paket Saya gmn nih udah seminggu, blm sampai? lama",Negatif
223,paket saya dari bogor ke karawang.sampai sekarang belum sampai jugaaaa. kecewaa,Negatif
224,"Saya sangat kecewa dengan kalian yg amat tidak memuaskan, membuat saya menunggu lama",Negatif
225,Saya mengirim barang belum sampai-sampai. Saya merasa dirugikan,Negatif
226,J&T salah input kota tujuan,Negatif
227,"Makin hari makin buruk,tiap kali terima barang selalu penyok""",Negatif
228,J&T suka lelet anter barang suka di pending2 alasan selalu kebanyakan barang,Negatif
229,kecewa sama J&T dokumen saya belum sampai,Negatif
230,pelayanannya semakin menurun,Negatif
231,J&T keterlaluan banget .. bikin kecewa teramat ..,Negatif
232,BarangLama Sekali Di Terima ... Lelet Sekali,Negatif
233,Saya kecewa pakai J&T .. Udah bayar mahal pake lama banget sampai nya.. sampai sekarang belum sampai. Kecewa banget lah. Tidak profesional,Negatif
234,Saya kecewa...pengiriman dari bandung ke cikarang belum sampai juga. Lama sekali,Negatif
